Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-02-16 17:51:15.264959 +0000 UTC,172.18.0.1,54133,239.255.255.250,1900,17,1,196,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,196,0,0,0,NA,NA,NA,NA
2025-02-16 17:51:16.935535 +0000 UTC,172.18.0.146,42846,172.18.0.2,80,6,6,462,4,705,52,77,194,57,52,176,541,243,20000,53750,122000,46377,51000,72000,93000,29698,4043276000,42000,107500,173000,92630,4043061000,4043061000,4043061000,0,3,231,2,352,1,1,0,0,320,216,0,0,Benign,admin,wordpress,NA
2025-02-16 17:51:20.978205 +0000 UTC,172.18.0.146,45152,172.18.0.2,80,6,6,462,4,705,52,77,194,57,52,176,541,243,19000,65000,158000,63124,52000,88500,125000,51618,2404383000,48000,130000,212000,115965,2404123000,2404123000,2404123000,0,3,231,2,352,1,1,0,0,320,216,0,0,Benign,admin,wordpress,NA
2025-02-16 17:51:32.249131 +0000 UTC,172.18.0.1,38239,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1000953000,0,0,0,0,1000953000,1000953000,1000953000,0,1,196,0,0,0,0,0,0,392,0,0,0,Benign,admin,wordpress,NA
2025-02-16 17:51:34.138410 +0000 UTC,172.18.0.245,49570,172.18.0.2,80,6,8,569,6,15740,52,71,197,50,52,2623,7292,3634,4000,3578833,21339000,8700682,10000,5347750,21304000,10637524,2490533000,50000,10736500,21423000,15112993,2469060000,2469060000,2469060000,0,4,284,3,7870,1,3,0,0,424,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:51:36.606141 +0000 UTC,172.18.0.245,49580,172.18.0.2,80,6,8,569,6,15736,52,71,197,50,52,2622,7292,3634,11000,3669833,21841000,8902066,12000,5473500,21807000,10889013,4062739000,92000,11009500,21927000,15439676,4040720000,4040720000,4040720000,0,4,284,3,7868,1,3,0,0,424,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:51:39.656090 +0000 UTC,172.18.0.1,57635,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002757000,0,0,0,0,1000647000,1000919000,1001147000,252887,1,196,0,0,0,0,0,0,784,0,7406959000,0,Benign,admin,wordpress,NA
2025-02-16 17:51:40.643305 +0000 UTC,172.18.0.245,37842,172.18.0.2,80,6,7,513,5,7630,52,73,193,52,52,1526,7292,3223,24000,4922600,24454000,10918392,30000,8171333,24403000,14057058,4169007000,54000,12306500,24559000,17327651,4144394000,4144394000,4144394000,0,3,256,2,3815,1,2,0,0,372,268,4037164000,0,Benign,admin,wordpress,NA
2025-02-16 17:51:43.325252 +0000 UTC,172.18.0.1,51307,239.255.255.250,1900,17,3,459,0,0,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,240000567000,0,0,0,0,120000023000,120000283500,120000544000,-9223372036854775808,1,153,0,0,0,0,0,0,459,0,3669162000,0,Benign,admin,wordpress,NA
2025-02-16 17:51:44.784204 +0000 UTC,172.18.0.245,37850,172.18.0.2,80,6,9,786,6,15104,52,87,210,67,52,2517,7292,3661,9000,3914857,17377000,6786926,14000,6827500,18278000,8715423,4791377000,57000,13702000,27347000,19296944,4763973000,4763973000,4763973000,0,4,393,3,7552,2,3,0,0,476,320,4140899000,0,Benign,admin,wordpress,NA
2025-02-16 17:51:57.831645 +0000 UTC,172.18.0.1,56997,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003232000,0,0,0,0,1000190000,1001077333,1001741000,799324,1,196,0,0,0,0,0,0,784,0,14506393000,0,Benign,admin,wordpress,NA
2025-02-16 17:51:59.545335 +0000 UTC,172.18.0.30,33822,172.18.0.2,80,6,8,569,6,15736,52,71,197,50,52,2622,7292,3634,18000,4160833,24827000,10124324,18000,6221250,24802000,12387171,3281407000,59000,12482500,24906000,17569482,3256442000,3256442000,3256442000,0,4,284,3,7868,1,3,0,0,424,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:52:02.793195 +0000 UTC,172.18.0.30,58108,172.18.0.2,80,6,9,786,6,15104,52,87,210,67,52,2517,7292,3661,20000,4621142,21167000,8162581,28000,8066500,22215000,10530852,3547804000,52000,16174000,32296000,22799951,3515456000,3515456000,3515456000,0,4,393,3,7552,2,3,0,0,476,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:52:06.306259 +0000 UTC,172.18.0.30,58112,172.18.0.2,80,6,9,987,6,5980,52,109,264,86,52,996,4687,1825,42000,4521857,15752000,7199489,100000,7891500,16793000,9001958,4684336000,42000,15826500,31611000,22322653,4652683000,4652683000,4652683000,0,4,493,3,2990,3,3,0,0,476,320,3513064000,0,Benign,admin,wordpress,NA
2025-02-16 17:52:10.120279 +0000 UTC,172.18.0.1,33167,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001832000,0,0,0,0,1000735000,1000916000,1001097000,255972,1,196,0,0,0,0,0,0,588,0,12288634000,0,Benign,admin,wordpress,NA
2025-02-16 17:52:21.484053 +0000 UTC,172.18.0.230,44258,172.18.0.2,80,6,9,786,6,15101,52,87,210,67,52,2516,7292,3660,17000,4440428,19869000,7776266,25000,7749500,20682000,9869893,4312063000,56000,15541500,31027000,21899804,4280980000,4280980000,4280980000,0,4,393,3,7550,2,3,0,0,476,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:52:25.775225 +0000 UTC,172.18.0.230,44266,172.18.0.2,80,6,8,569,6,15731,52,71,197,50,52,2621,7292,3635,8000,3355666,19971000,8139849,14000,5007000,19934000,9951350,4521798000,74000,10067000,20060000,14132236,4501664000,4501664000,4501664000,0,4,284,3,7865,1,3,0,0,424,320,0,0,Benign,admin,wordpress,NA
2025-02-16 17:52:30.087698 +0000 UTC,172.18.0.1,36616,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001858000,0,0,0,0,1000474000,1000619333,1000702000,126258,1,196,0,0,0,0,0,0,784,0,19967419000,0,Benign,admin,wordpress,NA
2025-02-16 17:52:30.261249 +0000 UTC,172.18.0.230,41698,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,38000,5538833,19186000,8388604,85000,8296500,18177000,9566939,13126378000,24000,24744000,40975000,21755308,5004868000,6526073000,8047278000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,4486024000,0,Benign,admin,wordpress,NA
