Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 13:48:32.591571 +0000 UTC,172.18.0.2,54726,172.18.0.3,3306,6,59,8367,51,40870,52,141,358,81,40,801,7292,1528,13000,611017,3920000,839597,14000,710081,4098000,912693,102644597000,16000,17422000,34828000,24615801,102609753000,102609753000,102609753000,0,29,4183,25,20435,43,47,0,0,3084,2648,0,0,NA,NA,NA,NA
2025-03-04 13:48:32.787143 +0000 UTC,172.18.0.1,43661,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001336000,0,0,0,0,1000469000,1000668000,1000867000,281428,1,196,0,0,0,0,0,0,588,0,0,0,NA,NA,NA,NA
2025-03-04 13:48:35.592103 +0000 UTC,172.18.0.2,54728,172.18.0.3,3306,6,10,988,8,985,52,98,312,87,52,123,508,157,19000,883666,4079000,1567022,20000,1131571,4076000,1735784,7953000,7953000,7953000,7953000,0,0,0,0,0,10,988,8,985,5,5,0,0,528,424,0,0,NA,NA,NA,NA
2025-03-04 13:48:39.865135 +0000 UTC,172.18.0.1,60478,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002306000,0,0,0,0,1000476000,1000768666,1001270000,436194,1,196,0,0,0,0,0,0,784,0,0,0,NA,NA,NA,NA
2025-03-04 13:49:11.647604 +0000 UTC,172.18.0.2,56552,172.18.0.3,3306,6,64,8852,52,45443,52,138,358,82,52,873,7292,1518,16000,5139285,166714000,21605543,14000,6347705,207978000,29162308,323775000,323775000,323775000,323775000,0,0,0,0,0,64,8852,52,45443,45,49,0,0,3336,2712,36055501000,0,NA,NA,NA,NA
2025-03-04 13:49:12.440732 +0000 UTC,172.18.0.1,59019,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003058000,0,0,0,0,1000672000,1001019333,1001690000,580938,1,196,0,0,0,0,0,0,784,0,32575597000,0,NA,NA,NA,NA
2025-03-04 13:49:14.678905 +0000 UTC,172.18.0.2,57766,172.18.0.3,3306,6,58,8307,50,40830,52,143,358,81,52,816,7292,1539,8000,710596,6173000,1108944,13000,825836,6393000,1211350,40504000,40504000,40504000,40504000,0,0,0,0,0,58,8307,50,40830,43,47,0,0,3024,2608,3031301000,0,NA,NA,NA,NA
2025-03-04 13:49:15.759500 +0000 UTC,172.18.0.2,57770,172.18.0.3,3306,6,58,8307,50,40830,52,143,358,81,52,816,7292,1539,32000,1168508,5479000,1364288,29000,1358224,5959000,1459985,66605000,66605000,66605000,66605000,0,0,0,0,0,58,8307,50,40830,43,47,0,0,3024,2608,1080595000,0,NA,NA,NA,NA
2025-03-04 13:49:16.848942 +0000 UTC,172.18.0.2,57774,172.18.0.3,3306,6,28,2715,23,24222,52,96,219,51,52,1053,7292,2104,15000,2807074,42038000,8192727,15000,3442454,52287000,11050746,75791000,75791000,75791000,75791000,0,0,0,0,0,28,2715,23,24222,16,20,0,0,1464,1204,1089442000,0,NA,NA,NA,NA
2025-03-04 13:49:16.930986 +0000 UTC,172.18.0.2,57786,172.18.0.3,3306,6,29,2831,24,31763,52,97,219,50,52,1323,7541,2447,18000,473214,2891000,679976,26000,574347,3038000,768994,13250000,13250000,13250000,13250000,0,0,0,0,0,29,2831,24,31763,17,21,0,0,1516,1256,82044000,0,NA,NA,NA,NA
2025-03-04 13:49:17.364519 +0000 UTC,172.18.0.2,57792,172.18.0.3,3306,6,44,5499,37,37035,52,124,358,76,52,1000,7292,1748,9000,661325,4338000,1003156,14000,788750,4547000,1112923,28437000,28437000,28437000,28437000,0,0,0,0,0,44,5499,37,37035,30,34,0,0,2296,1932,433533000,0,NA,NA,NA,NA
2025-03-04 13:49:17.413313 +0000 UTC,172.18.0.2,57804,172.18.0.3,3306,6,44,5499,37,37035,52,124,358,76,52,1000,7292,1748,12000,631232,3352000,868947,13000,753000,3414000,958911,27143000,27143000,27143000,27143000,0,0,0,0,0,44,5499,37,37035,30,34,0,0,2296,1932,48794000,0,NA,NA,NA,NA
2025-03-04 13:49:17.495366 +0000 UTC,172.18.0.2,57818,172.18.0.3,3306,6,44,5499,37,37035,52,124,358,76,52,1000,7292,1748,10000,880860,8910000,1636851,16000,1051166,9394000,1825127,37877000,37877000,37877000,37877000,0,0,0,0,0,44,5499,37,37035,30,34,0,0,2296,1932,82053000,0,NA,NA,NA,NA
2025-03-04 13:49:19.672660 +0000 UTC,172.18.0.2,57824,172.18.0.3,3306,6,62,8748,52,45443,52,141,358,82,52,873,7292,1518,13000,740721,5139000,1098953,14000,885254,5329000,1216190,45184000,45184000,45184000,45184000,0,0,0,0,0,62,8748,52,45443,45,49,0,0,3232,2712,2177294000,0,NA,NA,NA,NA
2025-03-04 13:49:19.721122 +0000 UTC,172.18.0.2,57834,172.18.0.3,3306,6,44,5499,37,37035,52,124,358,76,52,1000,7292,1748,15000,693720,5184000,988600,14000,827611,5231000,1102849,29830000,29830000,29830000,29830000,0,0,0,0,0,44,5499,37,37035,30,34,0,0,2296,1932,48462000,0,NA,NA,NA,NA
2025-03-04 13:49:20.457632 +0000 UTC,172.18.0.2,57838,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,15000,526923,3020000,789757,13000,621045,3105000,880122,13700000,13700000,13700000,13700000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,736510000,0,NA,NA,NA,NA
2025-03-04 13:49:20.475394 +0000 UTC,172.18.0.2,57840,172.18.0.3,3306,6,29,2831,24,31763,52,97,219,50,52,1323,7541,2447,14000,535035,3706000,832017,18000,649956,3899000,940708,14981000,14981000,14981000,14981000,0,0,0,0,0,29,2831,24,31763,17,21,0,0,1516,1256,17762000,0,NA,NA,NA,NA
2025-03-04 13:49:20.568861 +0000 UTC,172.18.0.2,57842,172.18.0.3,3306,6,58,8307,50,40830,52,143,358,81,52,816,7292,1539,15000,710070,5552000,1060180,14000,825204,5634000,1153262,40474000,40474000,40474000,40474000,0,0,0,0,0,58,8307,50,40830,43,47,0,0,3024,2608,93467000,0,NA,NA,NA,NA
2025-03-04 13:49:20.674829 +0000 UTC,172.18.0.2,57844,172.18.0.3,3306,6,32,3510,27,27541,52,109,358,70,52,1020,7292,1960,12000,537967,3343000,835733,13000,640115,3406000,930415,16677000,16677000,16677000,16677000,0,0,0,0,0,32,3510,27,27541,20,24,0,0,1672,1412,105968000,0,NA,NA,NA,NA
2025-03-04 13:49:22.452886 +0000 UTC,172.18.0.2,34276,172.18.0.3,3306,6,62,8748,52,45443,52,141,358,82,52,873,7292,1518,15000,709377,4255000,961748,19000,847568,4422000,1065680,43272000,43272000,43272000,43272000,0,0,0,0,0,62,8748,52,45443,45,49,0,0,3232,2712,1778057000,0,NA,NA,NA,NA
2025-03-04 13:49:23.477929 +0000 UTC,172.18.0.2,34286,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,17000,1017653,6925000,1877591,13000,1200954,6963000,2031303,26459000,26459000,26459000,26459000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,1025043000,0,NA,NA,NA,NA
2025-03-04 13:49:23.514227 +0000 UTC,172.18.0.2,34300,172.18.0.3,3306,6,29,2831,24,31763,52,97,219,50,52,1323,7541,2447,27000,1087964,7084000,1615962,46000,1321173,6957000,1725805,30463000,30463000,30463000,30463000,0,0,0,0,0,29,2831,24,31763,17,21,0,0,1516,1256,36298000,0,NA,NA,NA,NA
2025-03-04 13:49:23.713676 +0000 UTC,172.18.0.2,34306,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,18000,622769,3835000,972716,20000,734363,3956000,1076101,16192000,16192000,16192000,16192000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,199449000,0,NA,NA,NA,NA
2025-03-04 13:49:23.733517 +0000 UTC,172.18.0.2,34314,172.18.0.3,3306,6,29,2831,24,31763,52,97,219,50,52,1323,7541,2447,13000,646785,4623000,1049560,16000,785521,4773000,1167807,18110000,18110000,18110000,18110000,0,0,0,0,0,29,2831,24,31763,17,21,0,0,1516,1256,19841000,0,NA,NA,NA,NA
2025-03-04 13:49:23.814595 +0000 UTC,172.18.0.2,34326,172.18.0.3,3306,6,44,5499,37,37035,52,124,358,76,52,1000,7292,1748,21000,747255,5184000,1124619,22000,891555,5282000,1237697,32132000,32132000,32132000,32132000,0,0,0,0,0,44,5499,37,37035,30,34,0,0,2296,1932,81078000,0,NA,NA,NA,NA
2025-03-04 13:49:24.137961 +0000 UTC,172.18.0.2,34338,172.18.0.3,3306,6,26,2529,22,24068,52,97,219,51,52,1094,7292,2144,12000,1001240,15028000,2996880,13000,1189952,15175000,3286402,25031000,25031000,25031000,25031000,0,0,0,0,0,26,2529,22,24068,15,19,0,0,1360,1152,323366000,0,NA,NA,NA,NA
2025-03-04 13:49:24.224365 +0000 UTC,172.18.0.2,34348,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,13000,482000,2648000,716198,14000,568090,2849000,798183,12532000,12532000,12532000,12532000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,86404000,0,NA,NA,NA,NA
2025-03-04 13:49:24.627598 +0000 UTC,172.18.0.2,34352,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,13000,489423,3124000,756445,14000,576681,3220000,824263,12725000,12725000,12725000,12725000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,403233000,0,NA,NA,NA,NA
2025-03-04 13:49:25.685195 +0000 UTC,172.18.0.2,34368,172.18.0.3,3306,6,27,2663,23,24222,52,98,219,51,52,1053,7292,2104,15000,557076,3395000,884417,15000,656863,3493000,966388,14484000,14484000,14484000,14484000,0,0,0,0,0,27,2663,23,24222,16,20,0,0,1412,1204,1057597000,0,NA,NA,NA,NA
2025-03-04 13:49:25.702880 +0000 UTC,172.18.0.2,34384,172.18.0.3,3306,6,29,2831,24,31763,52,97,219,50,52,1323,7541,2447,12000,560428,4592000,1003429,13000,680782,4764000,1122308,15692000,15692000,15692000,15692000,0,0,0,0,0,29,2831,24,31763,17,21,0,0,1516,1256,17685000,0,NA,NA,NA,NA
