Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-02-16 17:51:08.175567 +0000 UTC,192.168.0.243,50824,172.18.0.2,80,6,9,645,7,23025,52,71,197,47,52,3289,7292,3758,52000,4711285,29457000,10921141,117000,6163800,28669000,12585449,4097249000,977000,16489500,32002000,21937987,4064270000,4064270000,4064270000,0,4,322,3,11512,1,4,0,0,500,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:12.241155 +0000 UTC,192.168.0.243,42118,172.18.0.2,80,6,10,1039,7,6032,52,103,264,83,52,861,4687,1704,25000,4182285,14974000,6108622,1031000,7002500,14021000,6905930,7221954000,741000,23424333,40256000,20397066,2147046000,3575840500,5004635000,-9223372036854775808,3,346,2,2010,3,3,0,0,528,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:12.264259 +0000 UTC,192.168.0.1,36879,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001518000,0,0,0,0,1000249000,1000506000,1000682000,227580,1,196,0,0,0,0,0,0,784,0,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:17.251572 +0000 UTC,192.168.0.243,42134,172.18.0.2,80,6,8,569,6,15735,52,71,197,50,52,2622,7292,3634,50000,5361500,29456000,11809536,353000,7577000,28566000,13995111,2213095000,748000,16084500,31421000,21689086,2180926000,2180926000,2180926000,0,4,284,3,7867,1,3,0,0,424,320,5010417000,0,Benign,req,wordpress,NA
2025-02-16 17:51:19.420608 +0000 UTC,192.168.0.243,42146,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,45000,6872833,23077000,9768885,136000,10121250,22521000,11224383,10111906000,807000,27557666,41237000,23168751,5004851000,5014616500,5024382000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,2169036000,0,Benign,req,wordpress,NA
2025-02-16 17:51:22.600671 +0000 UTC,192.168.0.243,56174,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,42000,6174800,28911000,12714083,324000,9761666,28149000,15925767,4771963000,736000,15437000,30138000,20790353,4741089000,4741089000,4741089000,0,3,262,2,3815,1,2,0,0,384,268,3180063000,0,Benign,req,wordpress,NA
2025-02-16 17:51:27.369186 +0000 UTC,192.168.0.243,56176,172.18.0.2,80,6,6,466,4,705,52,77,198,59,52,176,541,243,30000,867500,1325000,577573,549000,680000,811000,185261,2163565000,1152000,1735000,2318000,824486,2160095000,2160095000,2160095000,0,3,233,2,352,1,1,0,0,320,216,4768515000,0,Benign,req,wordpress,NA
2025-02-16 17:51:27.544040 +0000 UTC,192.168.0.1,35355,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001296000,0,0,0,0,1000308000,1000648000,1000988000,480832,1,196,0,0,0,0,0,0,588,0,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:30.248221 +0000 UTC,192.168.0.1,60001,239.255.255.250,1900,17,1,196,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,196,0,2704181000,0,Benign,req,wordpress,NA
2025-02-16 17:51:39.656858 +0000 UTC,192.168.0.1,60626,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003251000,0,0,0,0,1000586000,1001083666,1001459000,449172,1,196,0,0,0,0,0,0,784,0,9408637000,0,Benign,req,wordpress,NA
2025-02-16 17:51:41.026514 +0000 UTC,192.168.0.69,34260,172.18.0.2,80,6,10,1039,7,6032,52,103,264,83,52,861,4687,1704,34000,3390000,11189000,4942142,41000,5733750,11073000,6048554,7567993000,2776000,22252333,40251000,18781148,2497405000,3750618000,5003831000,-9223372036854775808,3,346,2,2010,3,3,0,0,528,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:43.326063 +0000 UTC,192.168.0.1,41814,239.255.255.250,1900,17,4,612,0,0,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,360000223000,0,0,0,0,119999563000,120000074333,120000731000,-9223372036854775808,1,153,0,0,0,0,0,0,612,0,3669205000,0,Benign,req,wordpress,NA
2025-02-16 17:51:45.704221 +0000 UTC,192.168.0.69,34274,172.18.0.2,80,6,6,469,4,705,52,78,201,60,52,176,541,243,29000,1398500,3083000,1312235,825000,862500,900000,53033,2890510000,2511000,2797000,3083000,404465,2884916000,2884916000,2884916000,0,3,234,2,352,1,1,0,0,320,216,0,0,Benign,req,wordpress,NA
2025-02-16 17:51:58.834588 +0000 UTC,192.168.0.1,60965,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001132000,0,0,0,0,1000019000,1000566000,1001113000,773574,1,196,0,0,0,0,0,0,588,0,15508525000,0,Benign,req,wordpress,NA
2025-02-16 17:52:00.257963 +0000 UTC,192.168.0.29,44844,172.18.0.2,80,6,8,569,6,15736,52,71,197,50,52,2622,7292,3634,37000,4702500,25095000,10002023,94000,6627000,24336000,11816095,4648647000,878000,14107500,27337000,18709338,4620432000,4620432000,4620432000,0,4,284,3,7868,1,3,0,0,424,320,0,0,Benign,req,wordpress,NA
2025-02-16 17:52:04.876402 +0000 UTC,192.168.0.29,44854,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,27000,4556333,13912000,6081580,110000,6624000,13214000,6995331,24919480000,1404000,22923666,40029000,19687239,5004562000,12425354500,19846147000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,0,0,Benign,req,wordpress,NA
2025-02-16 17:52:07.893456 +0000 UTC,192.168.0.29,44860,172.18.0.2,80,6,6,462,4,705,52,77,194,57,52,176,541,243,31000,701750,1015000,451692,148000,455500,763000,434870,4175893000,889000,1403500,1918000,727612,4173086000,4173086000,4173086000,0,3,231,2,352,1,1,0,0,320,216,3017054000,0,Benign,req,wordpress,NA
2025-02-16 17:52:10.121350 +0000 UTC,192.168.0.1,45745,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,999734000,999734000,999734000,0,0,0,0,0,3001702000,999734000,333244666,999734000,577196694,1000858000,1000984000,1001110000,178190,1,261,0,0,0,0,0,0,784,0,11286762000,0,Benign,req,wordpress,NA
2025-02-16 17:52:12.045212 +0000 UTC,192.168.0.29,36642,172.18.0.2,80,6,7,525,5,7630,52,75,193,52,52,1526,7292,3223,26000,4718800,19108000,8093922,799000,6684666,18336000,10090529,3359965000,1016000,11797000,22578000,15246636,3336371000,3336371000,3336371000,0,3,262,2,3815,1,2,0,0,384,268,4151756000,0,Benign,req,wordpress,NA
2025-02-16 17:52:15.401646 +0000 UTC,192.168.0.29,36654,172.18.0.2,80,6,6,462,4,705,52,77,194,57,52,176,541,243,48000,709250,974000,442516,150000,513500,877000,514066,2762579000,935000,1418500,1902000,683772,2759742000,2759742000,2759742000,0,3,231,2,352,1,1,0,0,320,216,3356434000,0,Benign,req,wordpress,NA
2025-02-16 17:52:18.161173 +0000 UTC,192.168.0.29,36656,172.18.0.2,80,6,7,514,4,705,52,73,194,53,52,176,541,243,21000,588200,916000,356132,474000,707500,941000,330218,2915296000,756000,1470500,2185000,1010455,2912355000,2912355000,2912355000,0,3,257,2,352,1,1,0,0,372,216,2759527000,0,Benign,req,wordpress,NA
2025-02-16 17:52:21.073621 +0000 UTC,192.168.0.29,37756,172.18.0.2,80,6,7,514,4,705,52,73,194,53,52,176,541,243,24000,497000,859000,403784,98000,492000,886000,557200,4290943000,744000,1242500,1741000,704985,4288458000,4288458000,4288458000,0,3,257,2,352,1,1,0,0,372,216,2912448000,0,Benign,req,wordpress,NA
2025-02-16 17:52:25.340236 +0000 UTC,192.168.0.29,37772,172.18.0.2,80,6,8,569,6,15732,52,71,197,50,52,2622,7292,3635,32000,4037166,21694000,8658327,64000,5637000,20963000,10222607,4456770000,803000,12111500,23420000,15992634,4432547000,4432547000,4432547000,0,4,284,3,7866,1,3,0,0,424,320,4266615000,0,Benign,req,wordpress,NA
2025-02-16 17:52:29.762270 +0000 UTC,192.168.0.29,37778,172.18.0.2,80,6,9,987,7,6032,52,109,264,86,52,861,4687,1704,42000,5255500,16238000,7148530,7000,7647000,15827000,8333651,6896125000,795000,24123666,40043000,20646429,1819274000,3411877000,5004480000,-9223372036854775808,3,329,2,2010,3,3,0,0,476,372,4422034000,0,Benign,req,wordpress,NA
2025-02-16 17:52:30.088458 +0000 UTC,192.168.0.1,36219,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3001849000,0,0,0,0,1000336000,1000616333,1001172000,481227,1,196,0,0,0,0,0,0,784,0,19967108000,0,Benign,req,wordpress,NA
2025-02-16 17:52:33.641187 +0000 UTC,192.168.0.29,39216,172.18.0.2,80,6,10,1039,6,5980,52,103,264,83,52,996,4687,1825,33000,3854250,14204000,6064027,112000,7317750,15768000,7934471,3017122000,773000,15417000,30061000,20709743,2986288000,2986288000,2986288000,0,5,519,3,2990,3,3,0,0,528,320,3878917000,0,Benign,req,wordpress,NA
2025-02-16 17:52:46.760174 +0000 UTC,192.168.0.1,48965,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1000869000,0,0,0,0,1000869000,1000869000,1000869000,0,1,196,0,0,0,0,0,0,392,0,16671716000,0,Benign,req,wordpress,NA
