Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 13:48:32.787135 +0000 UTC,172.18.0.1,43661,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001340000,0,0,0,0,1000487000,1000670000,1000853000,258801,1,196,0,0,0,0,0,0,588,0,0,0,NA,NA,NA,NA
2025-03-04 13:48:35.592095 +0000 UTC,172.18.0.2,54728,172.18.0.3,3306,6,10,988,8,985,52,98,312,87,52,123,508,157,23000,883777,4077000,1566039,20000,1131571,4090000,1742560,7954000,7954000,7954000,7954000,0,0,0,0,0,10,988,8,985,5,5,0,0,528,424,0,0,NA,NA,NA,NA
2025-03-04 13:48:39.865130 +0000 UTC,172.18.0.1,60478,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002307000,0,0,0,0,1000475000,1000769000,1001272000,437679,1,196,0,0,0,0,0,0,784,0,0,0,NA,NA,NA,NA
2025-03-04 13:49:11.604359 +0000 UTC,192.168.0.201,49452,172.18.0.2,80,6,7,523,5,14169,52,74,203,56,52,2833,7292,3810,17000,73505600,367335000,164255631,34000,122464000,367292000,212027268,5342959000,108000,183764000,367420000,259728806,4975431000,4975431000,4975431000,0,3,261,2,7084,1,2,0,0,372,268,0,0,Benign,req,NA,requests-0
2025-03-04 13:49:11.647593 +0000 UTC,172.18.0.2,56552,172.18.0.3,3306,6,64,8852,52,45443,52,138,358,82,52,873,7292,1518,16000,5139317,166724000,21606188,16000,6347764,207984000,29163399,323777000,323777000,323777000,323777000,0,0,0,0,0,64,8852,52,45443,45,49,0,0,3336,2712,0,0,NA,NA,NA,NA
2025-03-04 13:49:12.440728 +0000 UTC,172.18.0.1,59019,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3003059000,0,0,0,0,1000667000,1001019666,1001688000,579089,1,196,0,0,0,0,0,0,784,0,32575598000,0,NA,NA,NA,NA
2025-03-04 13:49:13.537365 +0000 UTC,192.168.0.63,33394,172.18.0.2,80,6,6,463,4,705,52,77,195,57,52,176,541,243,48000,1027500,1885000,755770,716000,885500,1055000,239709,3999563000,1164000,2055000,2946000,1260064,3995453000,3995453000,3995453000,0,3,231,2,352,1,1,0,0,320,216,0,0,Benign,req,NA,requests-1
2025-03-04 13:49:14.629857 +0000 UTC,192.168.0.5,63270,172.18.0.2,443,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,7000,7000,7000,7000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,0,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.629865 +0000 UTC,192.168.0.5,63270,172.18.0.2,80,6,1,40,1,40,40,40,40,0,40,40,40,0,0,0,0,0,0,0,0,0,5000,5000,5000,5000,0,0,0,0,0,1,40,1,40,0,0,0,0,40,40,0,0,Attack,nmap,NA,exploit
2025-03-04 13:49:14.656608 +0000 UTC,192.168.0.5,63526,172.18.0.2,113,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,11000,11000,11000,11000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,26743000,0,Attack,nmap,NA,exploit
