Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP
2025-02-18 16:57:53.312573 +0000 UTC,192.168.0.2,51102,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,11000,947500,2534000,1056199,15000,1408500,2556000,1104984,5685000,5685000,5685000,5685000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,0,0
2025-02-18 16:57:53.312574 +0000 UTC,192.168.0.2,51092,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,11000,958333,2485000,1063271,22000,1406250,2572000,1121651,5750000,5750000,5750000,5750000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,0,0
2025-02-18 16:57:53.312616 +0000 UTC,192.168.0.2,51100,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,12000,961833,2535000,1018081,507000,1433500,2565000,932231,5771000,5771000,5771000,5771000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,42000,0
2025-02-18 16:57:53.313529 +0000 UTC,192.168.0.2,51204,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,11000,818333,2143000,789197,590000,1220500,2155000,668474,4910000,4910000,4910000,4910000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,4000,0
2025-02-18 16:57:53.312692 +0000 UTC,192.168.0.2,51118,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,55000,967833,2473000,960486,498000,1400250,2508000,875003,5807000,5807000,5807000,5807000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,51000,0
2025-02-18 16:57:53.313086 +0000 UTC,192.168.0.2,51144,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,48000,947333,2285000,903317,521000,1411500,2321000,735259,5684000,5684000,5684000,5684000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,32000,0
2025-02-18 16:57:53.313237 +0000 UTC,192.168.0.2,51158,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,10000,937166,2196000,864567,705000,1402500,2216000,665451,5623000,5623000,5623000,5623000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,13000,0
2025-02-18 16:57:53.314061 +0000 UTC,192.168.0.2,51332,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,7000,889166,2694000,1267801,112000,1327250,2674000,1376750,5335000,5335000,5335000,5335000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,18000,0
2025-02-18 16:57:53.318593 +0000 UTC,192.168.0.2,51552,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,22000,143666,448000,158023,68000,210500,425000,154459,862000,862000,862000,862000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,3729000,0
2025-02-18 16:57:53.313054 +0000 UTC,192.168.0.2,51146,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,17000,1126833,3498000,1419526,277000,1686500,3466000,1463393,6761000,6761000,6761000,6761000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,135000,0
2025-02-18 16:57:53.313224 +0000 UTC,192.168.0.2,51152,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,20000,1106833,5046000,1962906,209000,1655000,5056000,2291679,6641000,6641000,6641000,6641000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,138000,0
2025-02-18 16:57:53.312919 +0000 UTC,192.168.0.2,51128,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,15000,1164666,3549000,1458177,302000,1743750,3522000,1474100,6988000,6988000,6988000,6988000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,227000,0
2025-02-18 16:57:53.313288 +0000 UTC,192.168.0.2,51174,192.168.0.5,80,6,7,526,5,763,52,75,206,57,52,152,314,134,16000,1104833,3814000,1560618,262000,1646250,3801000,1697993,6629000,6629000,6629000,6629000,0,0,0,0,0,7,526,5,763,1,2,0,0,372,268,51000,0
