Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:45:15.780266 +0000 UTC,172.18.0.1,50584,239.255.255.250,1900,17,2,392,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1000803000,0,0,0,0,1000803000,1000803000,1000803000,0,1,196,0,0,0,0,0,0,392,0,0,0,NA,NA,NA,NA
2025-03-04 14:45:18.456212 +0000 UTC,172.18.0.1,54350,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002326000,0,0,0,0,1000219000,1000775333,1001118000,486097,1,196,0,0,0,0,0,0,784,0,0,0,NA,NA,NA,NA
2025-03-04 14:45:19.134846 +0000 UTC,172.18.0.10,51481,172.18.0.5,256,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,23000,23000,23000,23000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,0,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134879 +0000 UTC,172.18.0.10,51481,172.18.0.5,1720,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,7000,7000,7000,7000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,0,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134892 +0000 UTC,172.18.0.10,51481,172.18.0.5,3389,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,13000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134903 +0000 UTC,172.18.0.10,51481,172.18.0.5,1025,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,11000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134915 +0000 UTC,172.18.0.10,51481,172.18.0.5,53,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,12000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134927 +0000 UTC,172.18.0.10,51481,172.18.0.5,22,6,2,84,1,44,40,42,44,2,44,44,44,0,17000,17000,17000,0,0,0,0,0,17000,17000,17000,17000,0,0,0,0,0,2,84,1,44,0,0,0,0,84,44,12000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134952 +0000 UTC,172.18.0.10,51481,172.18.0.5,113,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,7000,7000,7000,7000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,25000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134964 +0000 UTC,172.18.0.10,51481,172.18.0.5,8888,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,15000,15000,15000,15000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,12000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134986 +0000 UTC,172.18.0.10,51481,172.18.0.5,110,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,22000,0,Attack,Nmap,server,NA
2025-03-04 14:45:19.134997 +0000 UTC,172.18.0.10,51481,172.18.0.5,445,6,1,44,1,40,44,44,44,0,40,40,40,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,0,0,0,0,0,1,44,1,40,0,0,0,0,44,40,11000,0,Attack,Nmap,server,NA
