Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:45:13.778881 +0000 UTC,172.18.0.1,50584,239.255.255.250,1900,17,4,784,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,3002193000,0,0,0,0,1000284000,1000731000,1001114000,418684,1,196,0,0,0,0,0,0,784,0,0,0,NA,NA,NA,NA
2025-03-04 14:45:15.959482 +0000 UTC,172.18.0.8,60846,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,34000,2159250,7296000,3437621,71000,2157500,7326000,3455970,8648000,8648000,8648000,8648000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,0,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959487 +0000 UTC,172.18.0.8,60828,172.18.0.5,80,6,6,467,4,505,52,77,199,59,52,126,341,143,99000,413400,825000,282213,375000,677333,923000,278360,2067000,2067000,2067000,2067000,0,0,0,0,0,6,467,4,505,1,1,0,0,320,216,0,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959494 +0000 UTC,172.18.0.8,60860,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,23000,933250,1876000,865303,65000,935250,1906000,861980,3749000,3749000,3749000,3749000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,7000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959501 +0000 UTC,172.18.0.8,60830,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,71000,1903000,4376000,2114829,68000,1904500,4340000,2126198,7624000,7624000,7624000,7624000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,7000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959508 +0000 UTC,172.18.0.8,60834,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,67000,737250,1441000,572545,67000,738250,1521000,609587,2958000,2958000,2958000,2958000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,7000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959514 +0000 UTC,172.18.0.8,60838,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,62000,2103000,4392000,2294495,60000,2103500,4468000,2322100,8419000,8419000,8419000,8419000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,6000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959520 +0000 UTC,172.18.0.8,60844,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,58000,1099500,3252000,1469800,58000,1100750,3318000,1510041,4409000,4409000,4409000,4409000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,6000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959529 +0000 UTC,172.18.0.8,60874,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,26000,705000,1425000,639631,363000,705000,1006000,342826,2832000,2832000,2832000,2832000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,9000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959577 +0000 UTC,172.18.0.8,60882,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,25000,631000,2064000,959765,44000,630500,2089000,975091,2534000,2534000,2534000,2534000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,48000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959622 +0000 UTC,172.18.0.8,60886,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,23000,995500,3065000,1408816,66000,996250,3092000,1421294,3995000,3995000,3995000,3995000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,45000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959646 +0000 UTC,172.18.0.8,60888,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,21000,946250,3054000,1415826,47000,945500,3079000,1435137,3792000,3792000,3792000,3792000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,24000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959734 +0000 UTC,172.18.0.8,60904,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,14000,1086250,2609000,1111174,77000,1088250,2569000,1080505,4360000,4360000,4360000,4360000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,88000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959845 +0000 UTC,172.18.0.8,60914,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,20000,559000,1732000,797326,52000,559750,1705000,774695,2248000,2248000,2248000,2248000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,111000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959896 +0000 UTC,172.18.0.8,60916,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,18000,1757000,5026000,2342475,87000,1758000,4967000,2292676,7040000,7040000,7040000,7040000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,51000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.959933 +0000 UTC,172.18.0.8,60930,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,21000,826500,2543000,1175200,128000,831000,2469000,1113235,3334000,3334000,3334000,3334000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,37000,0,Benign,Stress,NA,siege
2025-03-04 14:45:15.960015 +0000 UTC,172.18.0.8,60938,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,21000,999500,3487000,1663315,36000,998500,1939000,1031822,4003000,4003000,4003000,4003000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,82000,0,Benign,Stress,NA,siege
