Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 14:45:14.779161 +0000 UTC,172.18.0.1,50584,239.255.255.250,1900,17,3,588,0,0,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2001911000,0,0,0,0,1000797000,1000955500,1001114000,224152,1,196,0,0,0,0,0,0,588,0,0,0,NA,NA,NA,NA
2025-03-04 14:45:15.959477 +0000 UTC,172.18.0.8,60828,172.18.0.5,80,6,6,467,4,505,52,77,199,59,52,126,341,143,107000,414200,823000,279354,370000,669000,903000,272380,2071000,2071000,2071000,2071000,0,0,0,0,0,6,467,4,505,1,1,0,0,320,216,0,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959478 +0000 UTC,172.18.0.8,60846,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,37000,2159500,7293000,3435371,70000,2158000,7337000,3462764,8656000,8656000,8656000,8656000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,0,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959479 +0000 UTC,172.18.0.8,60830,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,64000,1907500,4374000,2113656,68000,1899000,4340000,2127240,7650000,7650000,7650000,7650000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,1000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959480 +0000 UTC,172.18.0.8,60834,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,72000,743500,1460000,578168,65000,731500,1495000,599462,2990000,2990000,2990000,2990000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,1000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959481 +0000 UTC,172.18.0.8,60838,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,79000,2110250,4405000,2293036,59000,2096000,4444000,2316174,8456000,8456000,8456000,8456000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,1000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959482 +0000 UTC,172.18.0.8,60844,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,86000,1108000,3258000,1465926,57000,1092750,3295000,1500538,4450000,4450000,4450000,4450000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,1000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959491 +0000 UTC,172.18.0.8,60860,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,24000,933000,1874000,863435,65000,938000,1911000,866521,3765000,3765000,3765000,3765000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,9000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959525 +0000 UTC,172.18.0.8,60874,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,28000,705000,1424000,638743,376000,705500,1007000,337068,2840000,2840000,2840000,2840000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,34000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959573 +0000 UTC,172.18.0.8,60882,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,28000,631250,2062000,958126,43000,631000,2090000,975508,2542000,2542000,2542000,2542000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,48000,0,Benign,Stress,server,NA
2025-03-04 14:45:15.959618 +0000 UTC,172.18.0.8,60886,172.18.0.5,80,6,5,415,5,557,52,83,199,64,52,111,341,128,25000,995750,3063000,1407071,65000,996750,3100000,1426538,4003000,4003000,4003000,4003000,0,0,0,0,0,5,415,5,557,1,1,0,0,268,268,45000,0,Benign,Stress,server,NA
