Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 11:09:02.369169 +0000 UTC,192.168.0.2,33910,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,39000,1939200,8566000,3711573,40000,1936200,8626000,3746470,9703000,9703000,9703000,9703000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,0,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.369192 +0000 UTC,192.168.0.2,33912,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,25000,2585400,12393000,5484594,34000,2585800,12430000,5504835,12935000,12935000,12935000,12935000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,0,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.369439 +0000 UTC,192.168.0.2,33928,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,18000,1067800,4351000,1855558,46000,1068200,4376000,1861201,5349000,5349000,5349000,5349000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,247000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.369463 +0000 UTC,192.168.0.2,33936,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,26000,1671000,6359000,2724061,36000,1670200,6386000,2736641,8364000,8364000,8364000,8364000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,24000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.369696 +0000 UTC,192.168.0.2,33940,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,19000,1425000,5959000,2563609,35000,1425200,5980000,2558664,7135000,7135000,7135000,7135000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,233000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.369751 +0000 UTC,192.168.0.2,33946,192.168.0.5,80,6,7,520,5,763,52,74,200,55,52,152,314,134,19000,999666,5233000,2079131,31000,1493250,5256000,2524482,5998000,5998000,5998000,5998000,0,0,0,0,0,7,520,5,763,1,2,0,0,372,268,55000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.370043 +0000 UTC,192.168.0.2,33962,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,17000,1290400,5138000,2189237,80000,1289800,5168000,2177048,6459000,6459000,6459000,6459000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,292000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.370355 +0000 UTC,192.168.0.2,33978,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,22000,1382600,5763000,2478589,32000,1382400,5794000,2494695,6922000,6922000,6922000,6922000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,312000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.370375 +0000 UTC,192.168.0.2,33988,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,16000,1209200,4873000,2076375,117000,1207400,4905000,2073433,6055000,6055000,6055000,6055000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,20000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.370694 +0000 UTC,192.168.0.2,33990,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,23000,1251800,5678000,2479281,36000,1251800,5705000,2493750,6269000,6269000,6269000,6269000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,319000,0,Attack,Stress,NA,siege-0
2025-03-04 11:09:02.370846 +0000 UTC,192.168.0.2,34006,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,19000,2313200,7933000,3459275,25000,2310600,7963000,3474956,11575000,11575000,11575000,11575000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,152000,0,Attack,Stress,NA,siege-0
