Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,RootIntent,Intent,Target,From
2025-03-04 11:09:02.439583 +0000 UTC,192.168.0.3,40412,192.168.0.5,80,6,5,416,5,763,52,83,200,65,52,152,314,134,38000,374750,598000,239787,35000,371750,883000,400485,1513000,1513000,1513000,1513000,0,0,0,0,0,5,416,5,763,1,2,0,0,268,268,-1000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439583 +0000 UTC,192.168.0.3,40402,192.168.0.5,80,6,5,416,5,763,52,83,200,65,52,152,314,134,79000,528750,1254000,507666,42000,524250,1335000,606634,2132000,2132000,2132000,2132000,0,0,0,0,0,5,416,5,763,1,2,0,0,268,268,0,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439584 +0000 UTC,192.168.0.3,40414,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,23000,537800,1548000,699425,31000,536000,1534000,702936,2705000,2705000,2705000,2705000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,0,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439585 +0000 UTC,192.168.0.3,40424,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,23000,346200,1169000,490281,26000,346200,1201000,507616,1755000,1755000,1755000,1755000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,2000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439586 +0000 UTC,192.168.0.3,40410,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,21000,184400,550000,215864,26000,181000,530000,210168,939000,939000,939000,939000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,1000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439600 +0000 UTC,192.168.0.3,40438,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,21000,1572400,5475000,2378652,30000,1574600,5466000,2378605,7885000,7885000,7885000,7885000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,14000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439622 +0000 UTC,192.168.0.3,40450,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,22000,143800,356000,142111,33000,147200,357000,144267,752000,752000,752000,752000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,22000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439633 +0000 UTC,192.168.0.3,40466,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,27000,528400,1466000,646456,36000,526800,1505000,609521,2656000,2656000,2656000,2656000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,11000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439789 +0000 UTC,192.168.0.3,40476,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,21000,616600,2791000,1216641,28000,617600,2782000,1210904,3102000,3102000,3102000,3102000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,156000,0,Attack,Stress,nginx,NA
2025-03-04 11:09:02.439843 +0000 UTC,192.168.0.3,40482,192.168.0.5,80,6,6,468,6,815,52,78,200,59,52,135,314,127,20000,298200,783000,363103,24000,298600,808000,370670,1508000,1508000,1508000,1508000,0,0,0,0,0,6,468,6,815,1,2,0,0,320,320,54000,0,Attack,Stress,nginx,NA
